x y z rgb
-94.954842 -181.61417 844.00574 4278256129
-93.893166 -181.49379 843.0351 4278321922
-93.339684 -181.40636 842.70776 4278321922
-92.867958 -181.34851 842.40363 4278321922
-92.347496 -181.32379 842.35681 4278321922
-91.894066 -181.30511 842.22406 4278321922
-91.368713 -181.27318 842.13043 4278321923
-90.75351 -182.69646 849.14246 4278321666
-95.784767 -180.85423 842.86108 4278321666
-95.238403 -180.85674 842.2959 4278321666
-94.745697 -180.69835 842.10083 4278321922
-94.193382 -180.67738 841.4798 4278321923
-93.689713 -180.47565 841.18805 4278387459
-93.161514 -180.51982 840.77838 4278387715
-92.663017 -180.33881 840.51392 4278387715
-92.150909 -180.40779 840.25238 4278387715
-91.655617 -180.21198 839.99884 4278387715
-91.164375 -180.30914 839.92346 4278387715
-90.682083 -180.1608 839.79022 4278387459
-90.194885 -180.28314 839.74042 4278321923
-89.728279 -180.15669 839.75055 4278321923
-96.293236 -180.64047 843.55182 4278321666
-95.743584 -180.4369 842.56409 4278321922
-95.167938 -180.308 842.04126 4278387459
-94.687561 -180.23978 841.67175 4278387715
-94.105896 -180.10751 841.08502 4278387715
-93.637924 -180.0517 840.8017 4278453252
-93.079323 -179.94891 840.40601 4278453252
-92.612686 -179.90074 840.14148 4278453508
-92.067543 -179.83205 839.85919 4278387972
-91.599411 -179.78134 839.57715 4278453508
-91.06002 -179.71295 839.33875 4278387716
-90.587334 -179.64003 839.01178 4278453252
-90.061371 -179.60406 838.8894 4278387716
-89.608345 -179.58867 838.7464 4278387715
-89.080269 -179.53996 838.56879 4278387715
-98.109299 -180.84189 847.37897 4278190337
-97.15403 -180.18831 844.04407 4278255873
-96.776207 -179.96796 843.21918 4278321666
-95.706955 -179.75232 842.21094 4278387715
-95.145355 -179.73047 841.52026 4278387715
-94.598969 -179.45789 840.84106 4278387715
-94.069481 -179.49092 840.42358 4278453508
-93.544769 -179.25412 839.93274 4278453508
-93.017754 -179.29259 839.52655 4278519044
-92.511635 -179.09035 839.18579 4278519044
-91.997726 -179.15746 838.89819 4278519301
-91.505486 -178.97841 838.66962 4278519301
-91.004677 -179.06264 838.50116 4278453764
-90.512756 -178.88675 838.26935 4278453508
-90.006775 -178.96414 838.04083 4278453508
-89.527145 -178.80667 837.92084 4278453508
-89.022568 -178.8896 837.69745 4278453508
-88.535759 -178.71877 837.52765 4278453508
-98.004875 -180.38486 847.21344 4278255873
-97.189072 -179.51959 842.83386 4278321665
-96.692482 -179.45364 842.46173 4278387458
-96.132759 -179.37807 842.17712 4278387715
-95.656029 -179.3167 841.83057 4278453251
-95.078964 -179.18832 841.29633 4278453508
-94.55957 -179.0453 840.5744 4278453508
-93.961441 -178.87674 839.82983 4278519300
-93.470665 -178.78123 839.34839 4278519301
-92.909554 -178.67361 838.91858 4278519301
-92.43531 -178.60902 838.57904 4278519301
-91.891006 -178.53867 838.29553 4278584837
-91.431435 -178.50208 838.08337 4278519301
-90.898064 -178.44556 837.8913 4278519557
-90.443306 -178.41893 837.72003 4278519301
-89.910622 -178.36629 837.52264 4278519301
-89.448975 -178.32344 837.28973 4278519301
-88.914467 -178.25871 837.0589 4278519301
-88.459251 -178.22182 836.89478 4278519301
-87.927956 -178.18198 836.71564 4278453508
-87.480095 -178.16357 836.59717 4278387715
-96.613243 -178.7168 841.84106 4278453251
-96.106262 -178.74431 841.62555 4278453508
-95.591064 -178.57964 841.22888 4278453508
-95.078552 -178.65227 840.96637 4278519301
-94.506416 -178.32767 840.05756 4278519301
-93.948456 -178.31273 839.38989 4278519557
-93.403328 -178.03851 838.70538 4278519557
-92.879478 -178.08109 838.31897 4278585093
-92.368385 -177.8661 837.92792 4278585093
-91.855225 -177.93092 837.63763 4278585094
-91.363243 -177.75446 837.41046 4278650886
-90.861275 -177.83853 837.22034 4278585350
-90.377251 -177.67639 837.05841 4278585094
-89.878868 -177.76811 836.89624 4278519557
-89.394684 -177.60095 836.72803 4278519557
-88.89756 -177.69325 836.57477 4278519557
-88.413506 -177.52519 836.40503 4278519301
-87.908516 -177.59283 836.17987 4278519301
-87.433044 -177.43573 836.07166 4278453509
-86.938416 -177.54849 835.94586 4278387716
-86.460724 -177.39186 835.83282 4278321923
-96.937614 -178.50081 842.51569 4278387458
-96.568588 -178.47333 842.34418 4278453508
-95.579514 -178.21747 841.19171 4278519301
-94.406693 -177.81009 839.26337 4278585093
-93.826599 -177.67114 838.66437 4278585093
-93.326302 -177.55827 838.09094 4278519557
-92.786209 -177.49361 837.8454 4278585350
-92.310707 -177.42563 837.48834 4278585350
-91.76622 -177.34956 837.19586 4278651142
-91.30645 -177.31093 836.97736 4278716679
-90.77269 -177.25481 836.77307 4278716679
-90.319626 -177.23204 836.61389 4278651143
-89.793198 -177.1918 836.46655 4278650886
-89.341965 -177.16858 836.32568 4278585350
-88.819298 -177.12836 836.20947 4278585350
-88.369705 -177.10698 836.08575 4278585094
-87.841103 -177.05913 835.91656 4278519557
-87.385902 -177.02678 835.73163 4278519301
-86.864029 -176.98097 835.59564 4278453765
-86.410683 -176.9697 835.46692 4278453508
-85.892426 -176.92667 835.33032 4278387715
-93.761276 -177.01286 837.7619 4278651142
-93.261024 -176.82185 837.46124 4278651142
-92.759232 -176.90778 837.27502 4278651142
-92.268242 -176.73311 837.05756 4278651142
-91.754478 -176.7919 836.75739 4278716679
-91.261322 -176.60948 836.5177 4278716935
-90.757904 -176.68962 836.30463 4278782728
-90.273338 -176.52747 836.13385 4278782472
-89.776329 -176.62321 835.98315 4278716935
-89.29879 -176.46959 835.86829 4278651143
-88.808037 -176.57341 835.77893 4278585606
-88.334824 -176.42606 835.69714 4278585350
-87.842537 -176.52599 835.59277 4278585350
-87.363373 -176.36438 835.45068 4278585350
-86.867836 -176.45944 835.31055 4278519558
-86.393967 -176.30859 835.22174 4278519557
-85.902809 -176.41917 835.11737 4278453765
-85.427711 -176.26564 835.00958 4278453508
-93.178238 -176.34164 836.89038 4278716935
-92.660278 -176.31122 836.75201 4278716935
